Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-1769,dotnetcore3.1,x86_64,yes,yes,54483,1769MB,AVERAGE,20,174.434,79.309,2.215,1.98,1.996,1.709,1.664,1.733,4.151,3.773,2.224,4.173,4.024,4.565,4.513,2.977,3.125,3.257,2.785,2.608,2.942,2.519,2.848,2.456,3.162,1.896,3.625,72.915
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-256,dotnetcore3.1,x86_64,yes,yes,54483,256MB,AVERAGE,20,173.029,616.084,5.92,2.53,1.803,4.013,2.006,7.457,11.423,6.719,8.967,15.343,21.651,20.41,15.516,11.31,11.341,14.6,15.626,14.567,13.835,9.814,14.532,14.138,14.629,10.972,8.649,277.764
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-512,dotnetcore3.1,x86_64,yes,yes,54483,512MB,AVERAGE,20,174.802,283.369,2.178,2.008,1.93,1.842,2.068,2.884,4.907,3.345,9.179,3.612,7.488,6.706,6.778,7.173,5.818,10.554,4.95,4.672,2.939,3.843,4.686,3.407,5.124,2.703,2.203,112.99
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,48299,1024MB,AVERAGE,20,275.73,268.645,4.602,2.862,2.542,2.15,2.147,2.543,2.034,2.337,3.702,2.383,2.696,3.726,4.172,2.577,2.098,3.332,2.627,2.196,2.094,1.702,1.799,1.808,2.48,1.673,2.476,64.753
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-128,dotnet6,arm64,no,no,48299,128MB,AVERAGE,20,277.353,2351.494,164.952,41.464,9.398,10.55,14.061,7.481,8.336,4.693,7.098,8.374,5.581,9.689,8.595,7.123,7.566,5.137,7.233,6.638,7.88,5.357,7.484,4.215,4.054,6.181,4.265,373.399
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-1769,dotnet6,arm64,no,no,48299,1769MB,AVERAGE,20,275.521,156.087,4.375,3.3,2.986,2.402,2.096,2.077,2.175,2.36,2.796,2.962,2.002,4.997,2.938,3.539,2.724,3.197,1.998,2.873,1.839,2.129,2.009,2.223,2.014,2.125,2.211,66.34
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-256,dotnet6,arm64,no,no,48299,256MB,AVERAGE,20,279.99,1188.836,31.203,14.28,9.452,8.473,4.624,7.418,2.763,3.786,2.197,5.104,3.274,4.126,5.856,3.658,2.791,2.075,3.957,2.085,2.684,2.479,5.251,2.91,2.541,2.343,6.952,142.275
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-NoR2R-512,dotnet6,arm64,no,no,48299,512MB,AVERAGE,20,280.705,571.581,7.995,2.643,2.796,3.396,3.182,2.274,2.129,2.633,2.147,3.259,2.041,2.78,8.127,2.415,3.101,5.439,3.197,3.98,2.326,2.321,4.327,3.092,2.054,1.795,1.93,81.374
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-YesR2R-1024,dotnet6,arm64,no,yes,57176,1024MB,AVERAGE,20,277.568,261.585,3.989,3.137,2.647,2.656,2.386,2.452,1.969,2.066,2.759,3.184,3.704,3.727,4.2,3.338,3.217,3.122,2.123,2.439,1.862,1.837,1.91,1.853,2.79,2.391,1.994,67.746
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-YesR2R-128,dotnet6,arm64,no,yes,57176,128MB,AVERAGE,20,272.44,2285.589,163.954,32.57,12.493,10.343,7.779,7.624,12.33,7.054,10.567,9.851,5.231,10.45,6.58,10.111,6.319,14.368,9.182,5.068,6.781,7.166,8.096,4.627,5.948,4.55,7.495,386.53
