Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,yes,no,no,787425,256MB,100,337.969,2060.089,915.798,32.599552299055
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,x86_64,yes,no,no,787425,512MB,100,336.144,880.929,279.334,29.86887767105
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,x86_64,yes,no,no,787425,5120MB,100,327.942,251.562,214.912,59.072911079
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,x86_64,yes,no,yes,787425,1024MB,100,468.489,269.754,223.478,28.4205497744
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,x86_64,yes,no,yes,787425,128MB,162,463.381,3328.403,3429.442,34.27887242209182
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,x86_64,yes,no,yes,787425,1769MB,100,470.32,158.929,218.342,31.06253397762867
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,x86_64,yes,no,yes,787425,256MB,100,470.561,1438.044,929.581,30.0651209802025
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,x86_64,yes,no,yes,787425,512MB,100,463.965,575.252,276.088,27.294519189009996
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,x86_64,yes,no,yes,787425,5120MB,100,453.275,153.012,218.941,51.19615365885
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,yes,yes,no,2197171,1024MB,100,298.119,276.171,223.173,28.52241164479
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,yes,yes,no,2197171,128MB,163,293.271,3303.456,3507.126,34.388740672925614
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,yes,yes,no,2197171,1769MB,100,303.551,163.478,218.309,31.192551706739135
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,yes,yes,no,2197171,256MB,100,303.898,1495.757,965.327,30.45453884237
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-YesR2R-NoPreJIT-00512,dotnetcore3.1,x86_64,yes,yes,no,2197171,512MB,100,300.988,614.895,300.614,27.829251091805
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-YesR2R-NoPreJIT-05120,dotnetcore3.1,x86_64,yes,yes,no,2197171,5120MB,100,291.343,160.888,215.177,51.53880434415
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-YesR2R-YesPreJIT-01024,dotnetcore3.1,x86_64,yes,yes,yes,2197171,1024MB,100,367.47,211.515,220.82,27.40559107782
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-YesR2R-YesPreJIT-00128,dotnetcore3.1,x86_64,yes,yes,yes,2197171,128MB,173,368.444,2738.029,3600.893,33.40611504416185
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-YesR2R-YesPreJIT-01769,dotnetcore3.1,x86_64,yes,yes,yes,2197171,1769MB,100,362.849,124.517,212.681,29.90872560556342
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-YesR2R-YesPreJIT-00256,dotnetcore3.1,x86_64,yes,yes,yes,2197171,256MB,100,369.811,1193.172,974.717,29.232888899075
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-YesR2R-YesPreJIT-00512,dotnetcore3.1,x86_64,yes,yes,yes,2197171,512MB,100,374.312,465.178,285.683,26.45718918102
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-YesR2R-YesPreJIT-05120,dotnetcore3.1,x86_64,yes,yes,yes,2197171,5120MB,100,358.17,122.64,214.854,48.32451458225
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-01024,dotnet6,arm64,no,no,no,787961,1024MB,100,531.839,697.454,235.151,32.63479817368
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00128,dotnet6,arm64,no,no,no,787961,128MB,151,534.476,6201.332,1189.532,32.51816755079471
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-01769,dotnet6,arm64,no,no,no,787961,1769MB,100,533.308,397.152,230.31,34.65294968105375
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00256,dotnet6,arm64,no,no,no,787961,256MB,100,534.641,3119.936,381.859,31.87270836325
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00512,dotnet6,arm64,no,no,no,787961,512MB,100,533.226,1459.394,260.947,31.66899801137
